transaction_id,customer_id,account_id,transaction_date,transaction_type,amount
TX1000000,CUST2309,ACC141831,2024-08-26,Withdrawal,6799.74
TX1000001,CUST1228,ACC157817,2024-08-19,Deposit,7135.49
TX1000002,CUST1051,ACC187965,2024-03-18,Withdrawal,11684.38
TX1000003,CUST2518,ACC115420,2024-11-29,Withdrawal,4374.3
TX1000004,CUST1563,ACC135737,2024-06-18,Bank Transfer,18830.95
TX1000005,CUST1501,ACC119571,2024-02-07,Deposit,15521.22
TX1000006,CUST1457,ACC120643,2024-04-03,POS,4420.32
TX1000007,CUST1285,ACC135866,2024-11-27,Deposit,12724.21
TX1000008,CUST2508,ACC115002,2024-10-21,BankTransfer,16500.03
TX1000009,CUST1209,ACC101999,2024-06-22,Bank Transfer,3412.6
TX1000010,CUST2385,ACC181650,2024-08-20,Bank Transfer,6894.37
TX1000011,CUST2516,ACC173351,2024-09-27,withdrawal,18490.11
TX1000012,CUST2827,ACC167378,2024-12-20,Withdrawal,8968.76
TX1000013,CUST2116,ACC113418,2024-08-09,Deposit,18232.88
TX1000014,CUST1178,ACC127076,2024-01-11,Withdrawal,6250.33
TX1000015,CUST2209,ACC171110,2024-07-24,Deposit,3272.71
TX1000016,CUST1864,ACC145916,2024-10-21,Deposit,5098.93
TX1000017,CUST1065,ACC172006,2024-05-30,Withdrawal,15268.41
TX1000018,CUST1061,ACC141744,2024-01-04,POS,19419.46
TX1000019,CUST1191,ACC135527,2024-11-15,Withdrawal,6628.04
TX1000020,CUST1447,ACC118554,2024-07-18,Bank Transfer,6761.65
TX1000021,CUST1476,ACC192321,2024-01-10,Deposit,18165.75
TX1000022,CUST2034,ACC137128,2024-01-05,Deposit,10428.94
TX1000023,CUST2232,ACC175246,2024-04-25,POS,14531.64
TX1000024,CUST1054,ACC132089,2024-06-14,Withdrawal,14010.15
TX1000025,CUST2149,ACC122449,2024-08-06,Withdrawal,4466.41
TX1000026,CUST1407,ACC109337,2024-03-18,Withdrawal,11581.16
TX1000027,CUST2466,ACC140812,2024-05-12,POS,9002.86
TX1000028,CUST2330,ACC180381,2024-04-24,bank-transfer,18310.9
TX1000029,CUST2436,ACC144399,2024-10-26,POS,9168.49
TX1000030,CUST2116,ACC170854,2024-12-11,Bank Transfer,783.16
TX1000031,CUST1859,ACC158149,2024-06-16,Withdrawal,2094.18
TX1000032,CUST1451,ACC106648,2024-09-29,Bank Transfer,8317.23
TX1000033,CUST1919,ACC117049,2024-08-22,Bank Transfer,19421.61
TX1000034,CUST2206,ACC103800,2024-11-30,Withdrawal,10753.37
TX1000035,CUST1569,ACC161700,2024-12-06,Bank Transfer,19087.26
